,message_count,group_type,has_media,has_url,has_emoji,message_length,hour,day,response_rate
0,2.0,3.0,0.0,0.0,1.0,17.0,4.0,3.0,0.0
1,1.0,3.0,0.0,0.0,0.0,12.0,7.0,3.0,0.0
2,6.0,3.0,0.0,0.0,0.0,52.0,16.0,3.0,0.09090909090909091
3,4.0,3.0,0.0,0.0,0.0,5.0,18.0,3.0,0.13636363636363635
4,4.0,3.0,0.0,0.0,0.0,15.0,22.0,4.0,0.09090909090909091
5,6.0,3.0,0.0,0.0,0.0,12.0,19.0,5.0,0.13636363636363635
6,1.0,3.0,0.0,0.0,0.0,25.0,22.0,5.0,0.0
7,2.0,3.0,0.0,0.0,0.0,14.0,10.0,2.0,0.0
8,2.0,3.0,0.0,0.0,1.0,3.0,16.0,2.0,0.045454545454545456
9,1.0,3.0,0.0,0.0,0.0,12.0,13.0,5.0,0.0
10,19.0,3.0,1.0,0.0,0.0,0.0,17.0,2.0,0.22727272727272727
11,4.0,3.0,0.0,0.0,0.0,23.0,10.0,5.0,0.0
12,2.0,3.0,1.0,0.0,0.0,0.0,14.0,2.0,0.0
13,2.0,3.0,0.0,0.0,0.0,11.0,17.0,2.0,0.0
14,3.0,3.0,0.0,0.0,1.0,42.0,18.0,2.0,0.045454545454545456
15,24.0,3.0,0.0,0.0,0.0,38.0,13.0,5.0,0.13636363636363635
16,18.0,3.0,1.0,0.0,0.0,0.0,18.0,2.0,0.22727272727272727
17,11.0,3.0,0.0,0.0,1.0,24.0,19.0,2.0,0.18181818181818182
18,9.0,3.0,0.0,0.0,1.0,3.0,22.0,2.0,0.13636363636363635
19,1.0,3.0,0.0,0.0,1.0,5.0,8.0,3.0,0.0
20,1.0,3.0,0.0,0.0,0.0,9.0,13.0,3.0,0.0
21,1.0,3.0,1.0,0.0,0.0,0.0,20.0,0.0,0.0
22,2.0,3.0,1.0,0.0,0.0,0.0,14.0,2.0,0.0
23,16.0,3.0,0.0,0.0,0.0,4.0,16.0,2.0,0.09090909090909091
24,1.0,3.0,0.0,0.0,0.0,21.0,13.0,3.0,0.0
25,5.0,3.0,1.0,0.0,0.0,0.0,20.0,4.0,0.09090909090909091
26,1.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0
27,6.0,3.0,0.0,0.0,0.0,9.0,16.0,2.0,0.22727272727272727
28,9.0,3.0,0.0,0.0,0.0,59.0,20.0,2.0,0.045454545454545456
29,3.0,3.0,0.0,0.0,0.0,19.0,23.0,2.0,0.045454545454545456
30,17.0,3.0,0.0,0.0,0.0,19.0,19.0,4.0,0.22727272727272727
31,10.0,3.0,0.0,0.0,0.0,45.0,23.0,3.0,0.13636363636363635
32,1.0,3.0,0.0,0.0,0.0,8.0,2.0,4.0,0.0
33,1.0,3.0,0.0,0.0,0.0,1.0,7.0,4.0,0.0
34,3.0,3.0,0.0,0.0,0.0,1.0,10.0,4.0,0.0
35,3.0,3.0,0.0,0.0,0.0,1.0,14.0,4.0,0.09090909090909091
36,1.0,3.0,0.0,0.0,0.0,1.0,18.0,4.0,0.0
37,2.0,3.0,1.0,0.0,0.0,0.0,17.0,5.0,0.045454545454545456
38,2.0,3.0,0.0,0.0,0.0,30.0,5.0,6.0,0.0
39,2.0,3.0,1.0,0.0,0.0,0.0,12.0,2.0,0.0
40,5.0,3.0,0.0,0.0,0.0,18.0,14.0,2.0,0.09090909090909091
41,10.0,3.0,0.0,0.0,0.0,45.0,17.0,2.0,0.18181818181818182
42,8.0,3.0,1.0,0.0,0.0,0.0,19.0,5.0,0.3181818181818182
43,1.0,3.0,0.0,0.0,0.0,1.0,2.0,6.0,0.0
44,1.0,3.0,0.0,0.0,0.0,1.0,9.0,6.0,0.0
45,1.0,3.0,0.0,0.0,0.0,1.0,12.0,6.0,0.0
46,21.0,3.0,1.0,0.0,0.0,0.0,22.0,2.0,0.2727272727272727
47,3.0,3.0,0.0,0.0,0.0,6.0,9.0,3.0,0.0
48,12.0,3.0,0.0,0.0,0.0,11.0,11.0,3.0,0.045454545454545456
49,17.0,3.0,1.0,0.0,0.0,0.0,10.0,4.0,0.22727272727272727
50,4.0,3.0,0.0,0.0,0.0,56.0,16.0,4.0,0.09090909090909091
51,1.0,3.0,0.0,0.0,0.0,1.0,15.0,5.0,0.0
52,25.0,3.0,0.0,0.0,0.0,39.0,17.0,2.0,0.2727272727272727
53,3.0,3.0,0.0,0.0,0.0,31.0,9.0,6.0,0.0
54,1.0,3.0,0.0,0.0,0.0,39.0,18.0,3.0,0.0
55,1.0,3.0,0.0,0.0,1.0,13.0,21.0,3.0,0.0
56,10.0,3.0,0.0,0.0,1.0,3.0,10.0,4.0,0.09090909090909091
57,1.0,3.0,0.0,0.0,0.0,15.0,12.0,4.0,0.0
58,5.0,3.0,0.0,0.0,0.0,1.0,15.0,4.0,0.09090909090909091
59,1.0,3.0,0.0,0.0,1.0,3.0,17.0,4.0,0.0
60,2.0,3.0,0.0,0.0,0.0,1.0,19.0,4.0,0.045454545454545456
61,1.0,3.0,0.0,0.0,0.0,40.0,22.0,4.0,0.0
62,1.0,3.0,0.0,0.0,0.0,53.0,0.0,5.0,0.0
63,1.0,3.0,0.0,0.0,0.0,34.0,13.0,5.0,0.0
64,4.0,3.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0
65,4.0,3.0,0.0,0.0,0.0,39.0,13.0,2.0,0.09090909090909091
66,1.0,3.0,0.0,0.0,0.0,1.0,15.0,2.0,0.0
67,2.0,3.0,0.0,0.0,0.0,1.0,17.0,2.0,0.045454545454545456
68,1.0,3.0,0.0,0.0,0.0,1.0,23.0,2.0,0.0
69,1.0,3.0,0.0,0.0,1.0,18.0,9.0,3.0,0.0
70,1.0,3.0,0.0,0.0,0.0,42.0,12.0,3.0,0.0
71,1.0,3.0,0.0,0.0,0.0,39.0,10.0,4.0,0.0
72,1.0,3.0,0.0,0.0,0.0,24.0,12.0,4.0,0.0
73,1.0,3.0,0.0,0.0,1.0,3.0,16.0,4.0,0.0
74,1.0,3.0,0.0,0.0,1.0,1.0,18.0,4.0,0.0
75,1.0,3.0,1.0,0.0,0.0,0.0,23.0,5.0,0.0
76,15.0,3.0,0.0,0.0,0.0,14.0,13.0,2.0,0.09090909090909091
77,5.0,3.0,0.0,0.0,0.0,28.0,18.0,2.0,0.09090909090909091
78,4.0,3.0,0.0,0.0,0.0,19.0,12.0,4.0,0.0
79,2.0,3.0,0.0,0.0,0.0,39.0,15.0,6.0,0.045454545454545456
80,1.0,3.0,0.0,0.0,1.0,9.0,18.0,6.0,0.0
81,1.0,3.0,0.0,0.0,0.0,39.0,13.0,2.0,0.0
82,22.0,3.0,0.0,0.0,0.0,1.0,16.0,2.0,0.3181818181818182
83,1.0,3.0,0.0,0.0,0.0,1.0,19.0,2.0,0.0
84,1.0,3.0,0.0,0.0,1.0,45.0,22.0,2.0,0.0
85,2.0,3.0,0.0,0.0,0.0,36.0,23.0,3.0,0.0
86,1.0,3.0,0.0,0.0,1.0,3.0,6.0,4.0,0.0
87,2.0,3.0,0.0,0.0,0.0,39.0,11.0,4.0,0.0
88,6.0,3.0,0.0,0.0,1.0,1.0,16.0,4.0,0.22727272727272727
89,2.0,3.0,0.0,0.0,1.0,3.0,20.0,4.0,0.045454545454545456
