,message_count,group_type,has_media,has_url,has_emoji,message_length,hour,day,response_rate
0,47.0,3.0,0.0,0.0,1.0,17.0,4.0,3.0,0.45454545454545453
1,2.0,3.0,0.0,0.0,1.0,107.0,20.0,2.0,0.0
2,16.0,3.0,0.0,0.0,1.0,91.0,10.0,5.0,0.13636363636363635
3,7.0,3.0,0.0,0.0,0.0,111.0,13.0,5.0,0.13636363636363635
4,10.0,3.0,0.0,0.0,1.0,93.0,13.0,5.0,0.045454545454545456
5,15.0,3.0,0.0,0.0,0.0,119.0,13.0,5.0,0.22727272727272727
6,126.0,3.0,0.0,0.0,0.0,102.0,19.0,2.0,0.7272727272727273
7,56.0,3.0,0.0,0.0,0.0,132.0,17.0,2.0,0.45454545454545453
8,93.0,3.0,0.0,0.0,1.0,94.0,11.0,4.0,0.5454545454545454
9,29.0,3.0,0.0,0.0,1.0,93.0,13.0,2.0,0.2727272727272727
10,9.0,3.0,0.0,0.0,0.0,137.0,16.0,2.0,0.22727272727272727
11,1.0,3.0,0.0,0.0,1.0,84.0,18.0,2.0,0.0
12,75.0,3.0,0.0,0.0,0.0,98.0,18.0,2.0,0.4090909090909091
13,4.0,3.0,0.0,0.0,0.0,164.0,20.0,3.0,0.09090909090909091
14,4.0,3.0,0.0,0.0,0.0,152.0,20.0,3.0,0.045454545454545456
15,3.0,3.0,0.0,0.0,0.0,194.0,14.0,6.0,0.045454545454545456
16,30.0,3.0,0.0,0.0,1.0,96.0,14.0,6.0,0.36363636363636365
17,32.0,3.0,0.0,0.0,0.0,101.0,19.0,0.0,0.36363636363636365
18,15.0,3.0,0.0,0.0,1.0,98.0,16.0,5.0,0.36363636363636365
19,11.0,3.0,0.0,0.0,0.0,109.0,20.0,2.0,0.09090909090909091
20,6.0,3.0,0.0,0.0,0.0,97.0,23.0,2.0,0.09090909090909091
21,42.0,3.0,0.0,0.0,0.0,138.0,23.0,2.0,0.3181818181818182
22,17.0,1.0,1.0,0.0,0.0,0.0,13.0,1.0,0.1111111111111111
23,8.0,1.0,0.0,0.0,0.0,658.0,15.0,3.0,0.07407407407407407
24,36.0,1.0,0.0,0.0,0.0,146.0,15.0,3.0,0.14814814814814814
25,6.0,1.0,0.0,0.0,0.0,658.0,18.0,3.0,0.037037037037037035
26,1.0,1.0,0.0,0.0,0.0,348.0,22.0,3.0,0.0
27,10.0,1.0,0.0,0.0,0.0,226.0,22.0,3.0,0.09259259259259259
28,2.0,1.0,0.0,0.0,0.0,95.0,11.0,5.0,0.0
29,7.0,1.0,0.0,0.0,0.0,167.0,11.0,5.0,0.07407407407407407
30,1.0,1.0,0.0,0.0,0.0,299.0,18.0,1.0,0.0
31,10.0,1.0,0.0,0.0,1.0,121.0,19.0,1.0,0.037037037037037035
32,14.0,1.0,0.0,0.0,0.0,154.0,22.0,1.0,0.12962962962962962
33,4.0,1.0,0.0,0.0,1.0,400.0,19.0,1.0,0.0
34,3.0,1.0,0.0,0.0,1.0,400.0,19.0,1.0,0.0
35,22.0,1.0,0.0,0.0,1.0,400.0,19.0,1.0,0.12962962962962962
36,7.0,1.0,0.0,0.0,0.0,150.0,14.0,4.0,0.09259259259259259
37,71.0,1.0,0.0,0.0,0.0,191.0,21.0,4.0,0.37037037037037035
38,16.0,1.0,0.0,0.0,0.0,126.0,10.0,2.0,0.09259259259259259
39,1.0,1.0,0.0,0.0,0.0,229.0,22.0,2.0,0.0
40,20.0,1.0,0.0,0.0,1.0,161.0,22.0,2.0,0.2222222222222222
41,21.0,1.0,0.0,0.0,0.0,106.0,16.0,4.0,0.24074074074074073
42,6.0,1.0,0.0,0.0,1.0,133.0,13.0,0.0,0.07407407407407407
43,2.0,1.0,0.0,0.0,0.0,106.0,20.0,0.0,0.0
44,15.0,1.0,0.0,0.0,0.0,257.0,20.0,0.0,0.0
45,8.0,1.0,0.0,0.0,0.0,1155.0,20.0,0.0,0.037037037037037035
46,2.0,1.0,0.0,0.0,0.0,249.0,23.0,0.0,0.018518518518518517
47,5.0,1.0,0.0,0.0,0.0,252.0,13.0,3.0,0.018518518518518517
48,11.0,1.0,0.0,0.0,1.0,286.0,14.0,3.0,0.09259259259259259
49,5.0,1.0,0.0,0.0,0.0,107.0,21.0,3.0,0.07407407407407407
50,15.0,1.0,0.0,0.0,0.0,171.0,17.0,5.0,0.1111111111111111
51,5.0,1.0,0.0,0.0,0.0,291.0,11.0,1.0,0.018518518518518517
52,24.0,1.0,0.0,1.0,0.0,164.0,19.0,1.0,0.14814814814814814
53,42.0,1.0,0.0,0.0,0.0,106.0,21.0,3.0,0.14814814814814814
54,2.0,1.0,0.0,0.0,0.0,191.0,5.0,3.0,0.018518518518518517
55,3.0,1.0,0.0,0.0,0.0,207.0,7.0,3.0,0.0
56,16.0,1.0,0.0,0.0,1.0,129.0,8.0,3.0,0.16666666666666666
57,13.0,1.0,0.0,0.0,1.0,156.0,12.0,3.0,0.14814814814814814
58,25.0,1.0,0.0,0.0,0.0,207.0,14.0,3.0,0.2777777777777778
59,33.0,1.0,0.0,0.0,1.0,327.0,14.0,4.0,0.14814814814814814
60,43.0,1.0,0.0,0.0,0.0,149.0,13.0,6.0,0.24074074074074073
61,5.0,1.0,0.0,0.0,0.0,99.0,14.0,1.0,0.018518518518518517
62,7.0,1.0,0.0,0.0,1.0,184.0,15.0,1.0,0.05555555555555555
63,2.0,1.0,0.0,0.0,0.0,142.0,18.0,1.0,0.018518518518518517
64,1.0,1.0,0.0,0.0,0.0,380.0,19.0,1.0,0.0
65,3.0,1.0,0.0,0.0,0.0,380.0,19.0,1.0,0.0
66,16.0,1.0,0.0,0.0,0.0,149.0,20.0,1.0,0.12962962962962962
67,2.0,1.0,0.0,0.0,0.0,376.0,18.0,2.0,0.018518518518518517
68,86.0,1.0,0.0,0.0,0.0,376.0,20.0,2.0,0.3333333333333333
69,37.0,1.0,0.0,0.0,0.0,114.0,14.0,3.0,0.07407407407407407
70,1.0,1.0,0.0,0.0,0.0,154.0,8.0,4.0,0.0
71,1.0,1.0,0.0,0.0,1.0,204.0,9.0,4.0,0.0
72,16.0,1.0,0.0,0.0,1.0,94.0,9.0,4.0,0.09259259259259259
73,47.0,1.0,0.0,0.0,0.0,247.0,16.0,4.0,0.35185185185185186
74,7.0,1.0,0.0,0.0,0.0,152.0,15.0,0.0,0.07407407407407407
75,1.0,1.0,0.0,0.0,0.0,185.0,21.0,0.0,0.0
76,1.0,1.0,0.0,0.0,1.0,151.0,21.0,0.0,0.0
77,12.0,1.0,0.0,0.0,0.0,93.0,21.0,0.0,0.14814814814814814
78,4.0,1.0,0.0,0.0,0.0,116.0,19.0,1.0,0.037037037037037035
79,1.0,1.0,0.0,0.0,0.0,195.0,20.0,1.0,0.0
80,7.0,1.0,0.0,0.0,1.0,567.0,20.0,1.0,0.05555555555555555
81,1.0,1.0,0.0,0.0,0.0,960.0,8.0,2.0,0.0
82,1.0,1.0,0.0,0.0,1.0,166.0,8.0,2.0,0.0
83,5.0,1.0,0.0,0.0,1.0,567.0,8.0,2.0,0.037037037037037035
84,100.0,1.0,0.0,0.0,0.0,148.0,11.0,2.0,0.4074074074074074
85,31.0,1.0,0.0,0.0,0.0,193.0,18.0,4.0,0.3333333333333333
86,4.0,1.0,0.0,0.0,0.0,127.0,12.0,5.0,0.018518518518518517
87,14.0,1.0,0.0,0.0,0.0,127.0,13.0,5.0,0.05555555555555555
88,3.0,1.0,0.0,0.0,0.0,130.0,17.0,6.0,0.037037037037037035
89,7.0,1.0,0.0,0.0,0.0,469.0,8.0,2.0,0.018518518518518517
90,14.0,1.0,0.0,1.0,0.0,102.0,11.0,2.0,0.0
91,1.0,1.0,0.0,0.0,1.0,122.0,14.0,2.0,0.0
92,13.0,1.0,0.0,0.0,0.0,194.0,14.0,2.0,0.037037037037037035
93,13.0,1.0,0.0,0.0,1.0,92.0,18.0,2.0,0.05555555555555555
94,10.0,1.0,0.0,0.0,1.0,122.0,9.0,2.0,0.07407407407407407
95,6.0,1.0,0.0,0.0,0.0,109.0,19.0,2.0,0.018518518518518517
96,6.0,1.0,0.0,0.0,1.0,606.0,21.0,2.0,0.07407407407407407
97,6.0,1.0,0.0,0.0,0.0,97.0,9.0,5.0,0.07407407407407407
98,27.0,1.0,0.0,0.0,1.0,173.0,19.0,5.0,0.05555555555555555
99,24.0,1.0,0.0,0.0,0.0,103.0,11.0,0.0,0.35185185185185186
