,message_count,group_type,has_media,has_url,has_emoji,message_length,hour,day,response_rate
0,20.0,3.0,0.0,0.0,1.0,17.0,4.0,3.0,0.36363636363636365
1,27.0,3.0,0.0,0.0,0.0,61.0,19.0,5.0,0.2727272727272727
2,2.0,3.0,0.0,0.0,1.0,107.0,20.0,2.0,0.0
3,16.0,3.0,0.0,0.0,1.0,91.0,10.0,5.0,0.13636363636363635
4,1.0,3.0,0.0,0.0,0.0,111.0,13.0,5.0,0.0
5,2.0,3.0,0.0,0.0,0.0,69.0,13.0,5.0,0.0
6,1.0,3.0,0.0,0.0,0.0,62.0,13.0,5.0,0.0
7,3.0,3.0,0.0,0.0,0.0,87.0,13.0,5.0,0.09090909090909091
8,4.0,3.0,0.0,0.0,1.0,93.0,13.0,5.0,0.045454545454545456
9,2.0,3.0,0.0,0.0,0.0,88.0,13.0,5.0,0.045454545454545456
10,4.0,3.0,0.0,0.0,1.0,90.0,13.0,5.0,0.045454545454545456
11,12.0,3.0,0.0,0.0,0.0,119.0,13.0,5.0,0.18181818181818182
12,3.0,3.0,0.0,0.0,0.0,63.0,19.0,2.0,0.045454545454545456
13,2.0,3.0,0.0,0.0,0.0,102.0,19.0,2.0,0.045454545454545456
14,12.0,3.0,0.0,0.0,1.0,75.0,19.0,2.0,0.18181818181818182
15,59.0,3.0,0.0,0.0,1.0,78.0,20.0,2.0,0.36363636363636365
16,21.0,3.0,0.0,0.0,1.0,69.0,19.0,4.0,0.2727272727272727
17,13.0,3.0,0.0,0.0,1.0,82.0,0.0,4.0,0.4090909090909091
18,2.0,3.0,0.0,0.0,0.0,68.0,18.0,5.0,0.045454545454545456
19,17.0,3.0,0.0,0.0,1.0,62.0,5.0,6.0,0.13636363636363635
20,19.0,3.0,0.0,0.0,0.0,132.0,17.0,2.0,0.45454545454545453
21,4.0,3.0,0.0,0.0,1.0,78.0,23.0,2.0,0.09090909090909091
22,24.0,3.0,0.0,0.0,1.0,77.0,23.0,2.0,0.3181818181818182
23,9.0,3.0,0.0,0.0,0.0,84.0,11.0,3.0,0.13636363636363635
24,1.0,3.0,0.0,0.0,1.0,94.0,11.0,4.0,0.0
25,4.0,3.0,0.0,0.0,0.0,61.0,11.0,4.0,0.045454545454545456
26,2.0,3.0,0.0,0.0,0.0,68.0,11.0,4.0,0.045454545454545456
27,11.0,3.0,0.0,0.0,0.0,70.0,13.0,4.0,0.22727272727272727
28,11.0,3.0,0.0,0.0,0.0,82.0,18.0,2.0,0.2727272727272727
29,1.0,3.0,0.0,0.0,1.0,57.0,20.0,2.0,0.0
30,3.0,3.0,0.0,0.0,1.0,71.0,20.0,2.0,0.045454545454545456
31,60.0,3.0,0.0,0.0,1.0,88.0,20.0,2.0,0.5454545454545454
32,5.0,3.0,0.0,0.0,1.0,93.0,13.0,2.0,0.09090909090909091
33,23.0,3.0,0.0,0.0,1.0,78.0,14.0,2.0,0.2727272727272727
34,1.0,3.0,0.0,0.0,1.0,65.0,16.0,2.0,0.0
35,2.0,3.0,0.0,0.0,0.0,137.0,16.0,2.0,0.045454545454545456
36,2.0,3.0,0.0,0.0,0.0,71.0,16.0,2.0,0.045454545454545456
37,2.0,3.0,0.0,0.0,0.0,67.0,17.0,2.0,0.045454545454545456
38,3.0,3.0,0.0,0.0,0.0,89.0,17.0,2.0,0.09090909090909091
39,1.0,3.0,0.0,0.0,1.0,84.0,18.0,2.0,0.0
40,23.0,3.0,0.0,0.0,0.0,98.0,18.0,2.0,0.4090909090909091
41,8.0,3.0,0.0,0.0,1.0,64.0,16.0,5.0,0.0
42,3.0,3.0,0.0,0.0,0.0,70.0,20.0,0.0,0.045454545454545456
43,1.0,3.0,0.0,0.0,0.0,90.0,20.0,0.0,0.0
44,1.0,3.0,0.0,0.0,0.0,73.0,20.0,0.0,0.0
45,1.0,3.0,0.0,0.0,0.0,83.0,20.0,0.0,0.0
46,1.0,3.0,0.0,0.0,0.0,74.0,20.0,0.0,0.0
47,1.0,3.0,0.0,0.0,0.0,78.0,20.0,0.0,0.0
48,2.0,3.0,0.0,0.0,0.0,74.0,20.0,0.0,0.045454545454545456
49,1.0,3.0,0.0,0.0,0.0,77.0,21.0,0.0,0.0
50,1.0,3.0,0.0,0.0,0.0,89.0,21.0,0.0,0.0
51,1.0,3.0,0.0,0.0,0.0,78.0,21.0,0.0,0.0
52,1.0,3.0,0.0,0.0,0.0,80.0,21.0,0.0,0.0
53,1.0,3.0,0.0,0.0,0.0,79.0,21.0,0.0,0.0
54,1.0,3.0,0.0,0.0,0.0,79.0,21.0,0.0,0.0
55,17.0,3.0,0.0,0.0,0.0,79.0,21.0,0.0,0.18181818181818182
56,11.0,3.0,0.0,0.0,0.0,66.0,19.0,3.0,0.13636363636363635
57,4.0,3.0,0.0,0.0,0.0,164.0,20.0,3.0,0.09090909090909091
58,4.0,3.0,0.0,0.0,0.0,152.0,20.0,3.0,0.045454545454545456
59,3.0,3.0,0.0,0.0,0.0,194.0,14.0,6.0,0.045454545454545456
60,30.0,3.0,0.0,0.0,1.0,96.0,14.0,6.0,0.36363636363636365
61,21.0,3.0,0.0,0.0,0.0,101.0,19.0,0.0,0.36363636363636365
62,11.0,3.0,0.0,1.0,0.0,62.0,14.0,4.0,0.09090909090909091
63,15.0,3.0,0.0,0.0,1.0,98.0,16.0,5.0,0.36363636363636365
64,11.0,3.0,0.0,0.0,0.0,109.0,20.0,2.0,0.09090909090909091
65,3.0,3.0,0.0,0.0,0.0,97.0,23.0,2.0,0.045454545454545456
66,3.0,3.0,0.0,0.0,0.0,63.0,23.0,2.0,0.045454545454545456
67,1.0,3.0,0.0,0.0,0.0,138.0,23.0,2.0,0.0
68,5.0,3.0,0.0,0.0,0.0,76.0,23.0,2.0,0.045454545454545456
69,36.0,3.0,0.0,0.0,0.0,79.0,14.0,4.0,0.3181818181818182
70,17.0,1.0,1.0,0.0,0.0,0.0,13.0,1.0,0.1111111111111111
71,8.0,1.0,0.0,0.0,0.0,658.0,15.0,3.0,0.07407407407407407
72,36.0,1.0,0.0,0.0,0.0,146.0,15.0,3.0,0.14814814814814814
73,6.0,1.0,0.0,0.0,0.0,658.0,18.0,3.0,0.037037037037037035
74,1.0,1.0,0.0,0.0,0.0,348.0,22.0,3.0,0.0
75,10.0,1.0,0.0,0.0,0.0,226.0,22.0,3.0,0.09259259259259259
76,2.0,1.0,0.0,0.0,0.0,95.0,11.0,5.0,0.0
77,7.0,1.0,0.0,0.0,0.0,167.0,11.0,5.0,0.07407407407407407
78,1.0,1.0,0.0,0.0,0.0,299.0,18.0,1.0,0.0
79,10.0,1.0,0.0,0.0,1.0,121.0,19.0,1.0,0.037037037037037035
